Name,Type,Nation,Epoch
"Bloch MB.210 Verdum","Bomber","Испания (республика)","Interwar"
"Blohm und Voss Ha.137","Bomber","Германия (нацисты)","Interwar"
"Boeing B-9","Bomber","США","Interwar"
"Boeing TB-1/Model 63","Bomber","США","Interwar"
"Boulton & Paul P.75 Overstrand","Bomber","Великобритания","Interwar"
"Breda Ba.75","Bomber","Италия (фашисты)","Interwar"
"Breguet Br.19","Bomber","Бельгия","Interwar"
"Breguet Br.27/270/273","Bomber","Венесуэла","Interwar"
"Breguet Br.460/Br.462 Vultur","Bomber","Испания (республика)","Interwar"
"Brewster SBA/SBN","Bomber","США","Interwar"
"Caproni Ca.101","Bomber","Венгрия","Interwar"
"Caproni Ca.133/Ca.148","Bomber","Австрия","Interwar"
"Caproni Ca.135","Bomber","Венгрия","Interwar"
"Chance Vought SBU-1/SBU-2/V-142","Bomber","США","Interwar"
"Consolidated BY-1 Fleetster","Bomber","США","Interwar"
"Consolidated XB2Y","Bomber","США","Interwar"
"Curtiss CS/SC/T2M","Bomber","США","Interwar"
"Curtiss SBC Helldiver","Bomber","Великобритания","Interwar"
"Curtiss T-32/BT-32 Condor II","Bomber","Гондурас","Interwar"
"Dornier Do.11/Do.13/Do.23","Bomber","Венгрия","Interwar"
"Dornier Do.19","Bomber","Германия (нацисты)","Interwar"
"Douglas B-7/O-35","Bomber","США","Interwar"
"Douglas B-18 Bolo/Digby","Bomber","Канада","Interwar"
"Douglas DT-1/2/3","Bomber","Норвегия","Interwar"
"Douglas T2D/P2D","Bomber","США","Interwar"
"Douglas XT3D","Bomber","США","Interwar"
"Fairey Hendon","Bomber","США","Interwar"
"Farman F.221/F.222","Bomber","Франция","Interwar"
"Farman NC.223","Bomber","Франция","Interwar"
"Fiat BR","Bomber","Швеция","Interwar"
"FMA Ae.MB.1/Ae.MB.2 Bombi","Bomber","Аргентина","Interwar"
"Focke-Wulf Fw.42 Ente","Bomber","Германия (нацисты)","Interwar"
"Fokker C.V","Bomber","Германия (нацисты)","Interwar"
"Fokker C.X","Bomber","Испания (республика)","Interwar"
"Fokker FT-1","Bomber","США","Interwar"
"Fokker T.IV","Bomber","Нидерланды","Interwar"
"Fokker T.V","Bomber","Нидерланды","Interwar"
"Great Lakes BG","Bomber","США","Interwar"
"Great Lakes XTBG-1 Avenger","Bomber","США","Interwar"
"Handley Page HP.35 Clive","Bomber","Великобритания","Interwar"
"Handley Page HP.50 Heyford","Bomber","Великобритания","Interwar"
"Hawker Hart/Hart Trainer","Bomber","Великобритания","Interwar"
"Hawker Hind","Bomber","Иран","Interwar"
"Hawker Horsley","Bomber","Великобритания","Interwar"
"Heinkel He.70/He.170","Bomber","Венгрия","Interwar"
"Heinkel He.119","Bomber","Другие","Interwar"
"Junkers Ju.86","Bomber","Австрия","Interwar"
"Junkers Ju.89","Bomber","Германия (нацисты)","Interwar"
"Junkers S.36/K.37/Ki-1/Ki-2/Type 93 Louise","Bomber","Япония","Interwar"
"Junkers R-21/R-42","Bomber","СССР/Россия","Interwar"
"Kawasaki Ki-3","Bomber","Япония","Interwar"
"Kawasaki Ki-32 Mary","Bomber","Китай (Маньчжоу-Го)","Interwar"
"Koolhoven FK.52","Bomber","Финляндия","Interwar"
"Levasseur PL.107/PL.108","Bomber","Франция","Interwar"
"Liore et Olivier LeO 20/203/206/207/208","Bomber","Румыния","Interwar"
"Lublin R-VIII","Bomber","Польша","Interwar"
"Lublin R-XX","Bomber","Польша","Interwar"
"Martin BM-1/BM-2","Bomber","США","Interwar"
"Martin MB-1/GMB/MBT/MT-1/TM-1","Bomber","США","Interwar"
"Martin T3M","Bomber","США","Interwar"
"Martin T4M","Bomber","США","Interwar"
"Martin XT6M","Bomber","США","Interwar"
"Martin Type 139/166/B-10/B-12","Bomber","Аргентина","Interwar"
"Mitsubishi 1MT","Bomber","Япония","Interwar"
"Mitsubishi 2MB1","Bomber","Япония","Interwar"
"Mitsubishi 2MB2 Washi","Bomber","Япония","Interwar"
"Mitsubishi 3MT10","Bomber","Япония","Interwar"
"Mitsubishi B1M","Bomber","Япония","Interwar"
"Mitsubishi B2M","Bomber","Япония","Interwar"
"Mitsubishi B4M (9-Shi)","Bomber","Япония","Interwar"
"Mitsubishi B5M Mabel","Bomber","Япония","Interwar"
"Mitsubishi Ki-21 Sally/Jane/Gwen","Bomber","Таиланд","Interwar"
"Northrop BT-1","Bomber","США","Interwar"
"Piaggio P.32","Bomber","Италия (фашисты)","Interwar"
"Potez 25/27","Bomber","Германия (нацисты)","Interwar"
"Potez 540/542","Bomber","Испания (республика)","Interwar"
"PWS PWS-19","Bomber","Польша","Interwar"
"PZL P.23/P.43 Karas/Orliak","Bomber","Болгария","Interwar"
"PZL P.30/LWS-5/LWS-6 Zubr","Bomber","Польша","Interwar"
"Stout ST-1","Bomber","США","Interwar"
"Vickers Type 253","Bomber","Великобритания","Interwar"
"Vickers Vildebeest","Bomber","Великобритания","Interwar"
"Vickers Vincent","Bomber","Новая Зеландия","Interwar"
"Vickers Wellesley","Bomber","Великобритания","Interwar"
"Yokosuka B3Y","Bomber","Япония","Interwar"
"Yokosuka B4Y Jean","Bomber","Япония","Interwar"
"Грушин Ш-Тандем","Attack","Другие","Interwar"
"ЦКБ ТШ-1/ТШ-2","Attack","СССР/Россия","Interwar"
"ЦКБ ШОН","Attack","СССР/Россия","Interwar"
"ANBO ANBO-VIII","Attack","Литва","Interwar"
"Breda Ba.64/Ba.65","Attack","Ирак","Interwar"
"Caproni Ca.301/305/307/308/AP-1 Apio","Attack","Испания (националисты)","Interwar"
"Curtiss A-8/10/12 Shrike","Attack","Китай (националисты)","Interwar"
"Curtiss XA-14/A-18 Shrike II","Attack","США","Interwar"
"Henschel Hs.123","Attack","Германия (нацисты)","Interwar"
"Northrop A-13/A-16/A-17/A-33/Model 8A Nomad","Attack","Ирак","Interwar"
"Stampe et Vertongen SV-10","Attack","Бельгия","Interwar"
"Vultee A-19 (V-11)/БШ-1","Attack","Бразилия","Interwar"
"Антонов Самолет No.4","Transport","Другие","Interwar"
"Архангельский ПС-35 (АНТ-35)","Transport","Аэрофлот","Interwar"
"Калинин К-1/К-2/К-3/К-4","Transport","Аэрофлот","Interwar"
"ООС Сталь-3","Transport","Аэрофлот","Interwar"
"Туполев АНТ-9/ПС-9","Transport","Турция","Interwar"
"Туполев АНТ-14 Правда","Transport","Другие","Interwar"
"Aero A-10","Transport","CSA","Interwar"
"AGO Ao.192 Kurier","Transport","Германия (нацисты)","Interwar"
"Airspeed AS.6/AS.8 Envoy/Viceroy","Transport","Испания (республика)","Interwar"
"Atlantic Fokker Super Universal","Transport","Китай (Маньчжоу-Го)","Interwar"
"Avia 51","Transport","Испания (республика)","Interwar"
"Avro 618 Ten","Transport","Египет","Interwar"
"Bellanca CH-200/CH-300 Pacemaker","Transport","Испания (националисты)","Interwar"
"Bellanca P-100/P-200/P-300/C-27 Airbus","Transport","США","Interwar"
"Bernard 190/191/192","Transport","Частные","Interwar"
"Bleriot-SPAD S.33/S.48/S.56/S.66/S.116/S.126","Transport","CIDNA","Interwar"
"Boeing Model 40","Transport","Гондурас","Interwar"
"Boeing Model 95","Transport","Гондурас","Interwar"
"Boeing Model 247","Transport","Китай (националисты)","Interwar"
"Boulton & Paul P.64/P.71 Mailplane","Transport","Imperial Airways","Interwar"
"Breda Br.44","Transport","Италия (фашисты)","Interwar"
"Breguet Br.393","Transport","Air France","Interwar"
"Breguet Br.470 Fulgur","Transport","Испания (республика)","Interwar"
"Caproni Ca.309/KB-6 Ghibli/Papagal","Transport","Болгария","Interwar"
"Consolidated 17/20 Fleetster","Transport","Испания (республика)","Interwar"
"de Havilland DH.50","Transport","Imperial Airways","Interwar"
"de Havilland DH.84/89/90 Dragon/Dragon Rapide/Dominie","Transport","Бельгия","Interwar"
"Dornier Do.B/Do.C Komet/Merkur","Transport","Lufthansa","Interwar"
"Fairchild Model 82","Transport","LAV","Interwar"
"Farman F.60/F.62 Goliath","Transport","Перу","Interwar"
"Farman F.70/F.72","Transport","S.A.Aero","Interwar"
"Farman F.190/F.192","Transport","Эфиопия (Абиссиния)","Interwar"
"Fiat G-2","Transport","VARIG","Interwar"
"Fokker F.IV (T-2)","Transport","США","Interwar"
"Fokker F.VII","Transport","Бельгия","Interwar"
"Fokker F.VIII","Transport","Финляндия","Interwar"
"Fokker F.IX","Transport","Германия (нацисты)","Interwar"
"Fokker F.XVIII","Transport","Нидерланды","Interwar"
"Ford 3-AT/4-AT/5-AT Tri-Motor","Transport","Канада","Interwar"
"General Aviaton GA-43 Clark","Transport","Китай (Маньчжоу-Го)","Interwar"
"Handley Page HP.16/HP.18/HP.26/HP.27/HP.30/ W.8/W.9/W.10","Transport","Handley Page Air Transport","Interwar"
"Handley Page HP.42/HP.45","Transport","Великобритания","Interwar"
"Heinkel He.116","Transport","Германия (нацисты)","Interwar"
"Junkers F.13","Transport","Боливия","Interwar"
"Junkers G.23/G.24/F.24/JuG-1","Transport","Греция","Interwar"
"Junkers G.38","Transport","DLH","Interwar"
"Junkers Ju.60/Ju.160","Transport","Германия (нацисты)","Interwar"
"Junkers W.33/W.34/K.43","Transport","Боливия","Interwar"
"Latecoere Late 28/290","Transport","Испания (республика)","Interwar"
"Liore et Olivier LeO 21/213/214","Transport","Air Union","Interwar"
"Lockheed Model 1/2/5 Vega","Transport","Литва","Interwar"
"Lockheed Model 9 Orion","Transport","Испания (республика)","Interwar"
"Lublin R-XVI","Transport","Польша","Interwar"
"Messerschmitt M.18","Transport","Швейцария","Interwar"
"Messerschmitt M.20","Transport","Германия (нацисты)","Interwar"
"Potez 29","Transport","Франция","Interwar"
"Potez 56/560/561/566/568","Transport","Румыния","Interwar"
"Potez 65/650/651","Transport","Румыния","Interwar"
"PWS PWS-24","Transport","LOT","Interwar"
"PWS PWS-54","Transport","LOT","Interwar"
"RWD RWD-11","Transport","Другие","Interwar"
"Savoia Marchetti SM.72","Transport","Китай (националисты)","Interwar"
"Savoia Marchetti SM.73","Transport","Италия","Interwar"
"Savoia Marchetti SM.74","Transport","Италия (фашисты)","Interwar"
"Short S.16/S.22 Scion/Scion Senior","Transport","Частные","Interwar"
"SPAD S.33","Transport","SNETA","Interwar"
"Vultee V-1","Transport","Испания (республика)","Interwar"
"Антонов Самолет No.3","Other","СССР/Россия","Interwar"
"Антонов ЛЕМ-2","Other","Другие","Interwar"
"Антонов проект У","Other","Другие","Interwar"
"Григорович ДГ-55","Other","СССР/Россия","Interwar"
"Никитин НВ-1","Other","Другие","Interwar"
"Поликарпов Р-1/Р-2","Other","Китай (Нанкин)","Interwar"
"Поликарпов Р-5/Р-Z/ПР-5","Other","Иран","Interwar"
"Поликарпов У-2/По-2","Other","Германия (ГДР)","Interwar"
"Туполев АНТ-1","Other","Другие","Interwar"
"Туполев АНТ-2","Other","Другие","Interwar"
"Туполев АНТ-3/Р-3","Other","СССР/Россия","Interwar"
"Яковлев АВФ-10/20","Other","Другие","Interwar"
"Яковлев АИР-1","Other","Другие","Interwar"
"Яковлев УТ-1/УТ-2","Other","Венгрия","Interwar"
"Aero A-1","Other","Чехословакия","Interwar"
"Aero A-11","Other","Финляндия","Interwar"
"Aero A-32","Other","Финляндия","Interwar"
"Aeronca C-3 Master","Other","Другие","Interwar"
"Airspeed AS.5 Courier","Other","Частные","Interwar"
"Akaflieg Mu-17 Merle","Other","Германия (нацисты)","Interwar"
"ANBO ANBO-I/II/III","Other","Литва","Interwar"
"ANBO ANBO-IV/41/51","Other","Германия (нацисты)","Interwar"
"Ansaldo A.120","Other","Литва","Interwar"
"Ansaldo A.300","Other","Польша","Interwar"
"Arado Ar.66","Other","Германия (нацисты)","Interwar"
"Arado Ar.76","Other","Германия (нацисты)","Interwar"
"Arado Ar.77","Other","Германия (нацисты)","Interwar"
"Armstrong Whitworth Atlas","Other","Китай (клика Гуанси)","Interwar"
"Avia Ba.122","Other","Болгария","Interwar"
"Avia BH-9/BH-11/BH-12","Other","Чехословакия","Interwar"
"Avia FL.3","Other","Германия (нацисты)","Interwar"
"Aviacijas Divizions AVDI","Other","Латвия","Interwar"
"Avro 548","Other","Латвия","Interwar"
"Avro 555 Bison","Other","Великобритания","Interwar"
"Avro 560","Other","Великобритания","Interwar"
"Avro 581/594/616 Avian","Other","Испания (националисты)","Interwar"
"Avro 621 Tutor/Sea Tutor","Other","Великобритания","Interwar"
"Avro 626 Prefect","Other","Бельгия","Interwar"
"Avro 631/643 Cadet","Other","Частные","Interwar"
"Bartel BM-4/BM-5","Other","Афганистан","Interwar"
"Bartel BM-6","Other","Польша","Interwar"
"Berliner-Joyce OJ-2","Other","США","Interwar"
"Blackburn B-2","Other","Великобритания","Interwar"
"Bloch MB.81","Other","Франция (Виши)","Interwar"
"Breda Ba.15","Other","Эфиопия (Абиссиния)","Interwar"
"Breda Ba.19","Other","Италия (фашисты)","Interwar"
"Breda Ba.25/Ba.28","Other","Испания (националисты)","Interwar"
"Breda Ba.33/Ba.39","Other","Италия (фашисты)","Interwar"
"Bristol Type 118/120","Other","Великобритания","Interwar"
"British Aircraft BK.1 Eagle","Other","LAPE","Interwar"
"Bucker Bu.131 Jungmann","Other","Великобритания","Interwar"
"Bucker Bu.133 Jungmeister","Other","Германия (нацисты)","Interwar"
"Bucker Bu.134","Other","Другие","Interwar"
"Caudron C.59","Other","Китай (националисты)","Interwar"
"Caudron C.27/270/272/273 Luciole","Other","Испания (республика)","Interwar"
"Caudron C.280/340/400/410 Phalene","Other","Другие","Interwar"
"Caudron C.60/600/601 Aiglon","Other","Испания (республика)","Interwar"
"Caudron C.630/C.635 Simoun","Other","Германия (нацисты)","Interwar"
"Caudron C.690 Rafale","Other","СССР/Россия","Interwar"
"Chance Vought O2U/O3U/V-65/V-92/V-93 Corsair","Other","Китай (Кантон)","Interwar"
"Comte AC-4 Gentleman","Other","Швейцария","Interwar"
"Comte AC-11/AC-12 Moskito","Other","Швейцария","Interwar"
"Consolidated PT-1/PT-3/NY-1/NY-2/N4Y","Other","США","Interwar"
"Curtiss Robin","Other","Другие","Interwar"
"Curtiss-Wright CW-14 Speedwing/Sportsman/Osprey/Travel Air 2000/3000/4000","Other","Боливия","Interwar"
"CWL WZ-X","Other","Польша","Interwar"
"Dabrowski D-1 Cykacz","Other","Частные","Interwar"
"DAR DAR-1","Other","Болгария","Interwar"
"DAR DAR-3 Garvan","Other","Болгария","Interwar"
"de Havilland DH.37","Other","Частные","Interwar"
"de Havilland DH.53 Humming Bird","Other","Великобритания","Interwar"
"de Havilland DH.60 Moth","Other","Австралия","Interwar"
"de Havilland DH.80 Puss Moth","Other","Испания (республика)","Interwar"
"de Havilland DH.83 Fox Moth","Other","Испания (националисты)","Interwar"
"de Havilland DH.85 Leopard Moth","Other","Бельгия","Interwar"
"de Havilland DH.87 Hornet Moth","Other","Частные","Interwar"
"Desoutter Dolphin/Desoutter","Other","Финляндия","Interwar"
"Dewoitine D.26","Other","Швейцария","Interwar"
"DFS 108 Habicht","Other","Германия (нацисты)","Interwar"
"DFS Rhonbussard","Other","Франция","Interwar"
"DFS Sperber Junior","Other","Другие","Interwar"
"Dobkevicius Dobi I/II/III","Other","Литва","Interwar"
"Douglas O-2","Other","Китай (националисты)","Interwar"
"Douglas O-31/O-43/O-46","Other","США","Interwar"
"Drzewiecki JD-2","Other","Другие","Interwar"
"Dzialowski DKD-III/DKD-IV","Other","Частные","Interwar"
"EKW C-35","Other","Швейцария","Interwar"
"Erla 6a","Other","Германия (нацисты)","Interwar"
"Fairchild KR.22/F.22","Other","Испания (националисты)","Interwar"
"Fairey Gordon/Seal","Other","Великобритания","Interwar"
"Fiat AS.1","Other","Австрия","Interwar"
"Fiat G.5","Other","Италия (фашисты)","Interwar"
"Fiat G.8","Other","Италия (фашисты)","Interwar"
"Fieseler Fi.99","Other","Германия (нацисты)","Interwar"
"Fizir FN","Other","Югославия","Interwar"
"Fizir FP.2","Other","Италия (фашисты)","Interwar"
"Fizir FT-1 Nebojsa","Other","Другие","Interwar"
"Focke-Wulf Fw.44 Stieglitz","Other","Аргентина","Interwar"
"Fokker C.I/C.III","Other","СССР/Россия","Interwar"
"Fokker C.IV","Other","Частные","Interwar"
"Fokker C.IX","Other","Нидерланды","Interwar"
"Fokker S.IV","Other","Нидерланды","Interwar"
"Fokker S.9","Other","Нидерланды","Interwar"
"FVA FVA-1 Schwatze Duvel/FVA-2 Blaue Maus","Other","Германия (Веймарская Республика)","Interwar"
"FVM O-1 Tummelisa","Other","Швеция","Interwar"
"FVM S.21","Other","Швеция","Interwar"
"General Aircraft ST-4/ST-6/ST-10/ST-12/ST-25 Monospar/Universal","Other","Испания (республика)","Interwar"
"Gil Pazo GP-1/GP-2/GP-4","Other","Испания (республика)","Interwar"
"Goppingen Go.3 Minimoa","Other","Польша","Interwar"
"Gotha Go.145","Other","Германия (нацисты)","Interwar"
"Haefeli DH-5","Other","Швейцария","Interwar"
"Hanriot HD.14","Other","СССР/Россия","Interwar"
"Hanriot HD.19","Other","Польша","Interwar"
"Hanriot H.28","Other","Польша","Interwar"
"Hawker Audax/Hardy/Nisr/Avro 674","Other","Бельгия","Interwar"
"Hawker Hector","Other","Великобритания","Interwar"
"Hawker Tomtit","Other","Великобритания","Interwar"
"Heath Parasol","Other","Другие","Interwar"
"Heinkel HD.21","Other","Другие","Interwar"
"Heinkel He.45","Other","Болгария","Interwar"
"Heinkel He.46","Other","Венгрия","Interwar"
"Heinkel He.50","Other","Германия (нацисты)","Interwar"
"Heinkel He.72 Kadett","Other","Германия (нацисты)","Interwar"
"Henri Mignet HM-8/HM-14 Pou de Ciel","Other","Частные","Interwar"
"Hispano E-30","Other","Испания (до гр.войны)","Interwar"
"IAR IAR-12/IAR-14","Other","Румыния","Interwar"
"IMAM Ro.37","Other","Испания (националисты)","Interwar"
"IMAM Ro.41","Other","Испания (националисты)","Interwar"
"Irbitis I-5 Ikars","Other","Латвия","Interwar"
"Ishikawajima R-3","Other","Япония","Interwar"
"Kaproni-Bulgarski KB-2 Chuchuliga","Other","Болгария","Interwar"
"Kaproni-Bulgarski KB-3/KB-4 Chuchuliga II","Other","Болгария","Interwar"
"Kawasaki Type 88/KDA-2/KDC-2","Other","Япония","Interwar"
"KEA Chelidon","Other","Греция","Interwar"
"Klemm Kl.31/Kl.32","Other","Испания (националисты)","Interwar"
"Klemm Kl.25/Kl.35","Other","Германия (нацисты)","Interwar"
"Koolhoven FK.51","Other","Испания (республика)","Interwar"
"Koolhoven FK.56","Other","Бельгия","Interwar"
"Junkers A-20/J.20","Other","Иран","Interwar"
"Junkers A.50 Junior","Other","Португалия","Interwar"
"Letov S.1/S.2","Other","Чехословакия","Interwar"
"Letov S.10","Other","Чехословакия","Interwar"
"Letov S.16","Other","Латвия","Interwar"
"Letov S.18/S.118/S.218 Smolik","Other","Финляндия","Interwar"
"Letov S.328/S.428/S.528","Other","Болгария","Interwar"
"Lockheed Model 8 Sirius","Other","Частные","Interwar"
"Lublin R-X","Other","Польша","Interwar"
"Lublin R-XII/R-XIII/R-XIX","Other","Польша","Interwar"
"Lublin R-XIV","Other","Польша","Interwar"
"LWS LWS-3 Mewa","Other","Польша","Interwar"
"Medwecki HL-2 Haroldek","Other","Другие","Interwar"
"Messerschmitt M.23","Other","Другие","Interwar"
"Messerschmitt M.35","Other","Испания (националисты)","Interwar"
"Metal Aircraft Corp G-1","Other","Другие","Interwar"
"Miles M.2/23 Hawk/Hawk Speed","Other","Испания (республика)","Interwar"
"Miles M.3 Falcon/Falcon Major/Falcon Six","Other","Испания (республика)","Interwar"
"Mitsubishi C5M","Other","Япония","Interwar"
"Mitsubishi K3M Pine","Other","Япония","Interwar"
"Mitsubishi K7M","Other","Япония","Interwar"
"Monocoupe Monocoupe-70","Other","Частные","Interwar"
"Morane-Saulnier AR/MS.35","Other","Польша","Interwar"
"Morane-Saulnier MS.50/51/53/56","Other","Финляндия","Interwar"
"Morane-Saulnier MS.147/148","Other","Греция","Interwar"
"Morane-Saulnier MS.229/230/233/236","Other","Бельгия","Interwar"
"Morane-Saulnier MS.315/316","Other","Франция","Interwar"
"NAF N3N Canary","Other","США","Interwar"
"Nakajima Ki-4","Other","Япония","Interwar"
"Northrop 1 Delta","Other","Австралия","Interwar"
"Northrop 2/3/5 Gamma","Other","Испания (республика)","Interwar"
"Percival D.1/D.2/D.3 Gull/Gull Four/Gull Six","Other","Другие","Interwar"
"Piero Magni PM.1/PM.2 Vittoria/PM.3 Vale/PM.4 Supervale","Other","Италия (фашисты)","Interwar"
"Pietenpol Air Camper","Other","Частные","Interwar"
"Potez XV/XVII","Other","Испания (до гр.войны)","Interwar"
"Potez 36","Other","Другие","Interwar"
"Potez 58","Other","Испания (республика)","Interwar"
"Potez 60 Sauterelle","Other","Частные","Interwar"
"Potez 39/390/391/49","Other","Франция","Interwar"
"Praga E-39","Other","Венгрия","Interwar"
"Praga E-114/E-115/E-117 Air Baby","Other","Другие","Interwar"
"Praga E-241","Other","Словакия","Interwar"
"Praha PB-3","Other","Другие","Interwar"
"PWS PWS-5/5t2","Other","Польша","Interwar"
"PWS PWS-12/PWS-14/PWS-16/PWS-26","Other","Германия (нацисты)","Interwar"
"PWS PWS-35 Ogar","Other","Польша","Interwar"
"PWS PWS-50","Other","Другие","Interwar"
"PZL L-2","Other","Польша","Interwar"
"PZL PZL-26","Other","Другие","Interwar"
"Renard R.31","Other","Бельгия","Interwar"
"Rogozarski PVT/R-100","Other","Хорватия","Interwar"
"Rogozarski SIM-X/XI/XII","Other","Хорватия","Interwar"
"Romano R.80/R.82","Other","Испания (республика)","Interwar"
"RWD JD-2","Other","Частные","Interwar"
"RWD RWD-2","Other","Частные","Interwar"
"RWD RWD-4","Other","Другие","Interwar"
"RWD RWD-5","Other","Другие","Interwar"
"RWD RWD-6","Other","Другие","Interwar"
"RWD RWD-8","Other","Испания (националисты)","Interwar"
"RWD RWD-9","Other","Испания (до гр.войны)","Interwar"
"RWD RWD-10","Other","Другие","Interwar"
"RWD RWD-13","Other","Испания (националисты)","Interwar"
"RWD RWD-14 Czapla","Other","Польша","Interwar"
"RWD RWD-15","Other","Другие","Interwar"
"RWD RWD-17","Other","Польша","Interwar"
"PWS PWS-33 Wyzel","Other","Польша","Interwar"
"Ryan M-1/M-2/B-1/B-5/B-7 Brougham","Other","Китай (Кантон)","Interwar"
"Ryan S-T/ST-A/PT-16/STM/STM-2/PT-20/PT-21/PT-22 Sport-Trainer/Special/Recruit","Other","Нидерланды","Interwar"
"Salmson D.6 Cri-Cri","Other","Франция","Interwar"
"Schneider Grunau Baby","Other","Польша","Interwar"
"Seversky BT-8","Other","США","Interwar"
"Spartan 7W Executive","Other","Испания (республика)","Interwar"
"Stampe et Vertongen RSV-28","Other","Бельгия","Interwar"
"Stampe et Vertongen SV-4","Other","Бельгия","Interwar"
"Stampe et Vertongen SV-5","Other","Бельгия","Interwar"
"Stearman PT-13/PT-17/N2S Kaydet","Other","Бразилия","Interwar"
"Stinson SR-5/7/8/10/L-12/AT-19 Reliant","Other","Австралия","Interwar"
"Svetozar Vlajkovic St.Georg","Other","Другие","Interwar"
"Tachikawa Ki-9 Spruce","Other","Индонезия","Interwar"
"Tachikawa Ki-17 Cedar","Other","Япония","Interwar"
"VEF I-12","Other","Латвия","Interwar"
"Vickers Vixen/Vivid/Valparaiso/Valiant/Venture","Other","Португалия","Interwar"
"VL E.30 Kotka","Other","Финляндия","Interwar"
"VL Saaski II","Other","Финляндия","Interwar"
"Waco S2HD/UMF-3/WHD/JHD/UPF-7","Other","Куба","Interwar"
"Weber Meindl van Nes A.VII (M7)","Other","Эфиопия (Абиссиния)","Interwar"
"Weiss Manfred WM-16/WM-21 Budapest II/Solyom","Other","Венгрия","Interwar"
"Westland Wallace","Other","Частные","Interwar"
"Westland Walrus","Other","Великобритания","Interwar"
"Westland Wapiti","Other","Австралия","Interwar"
"Yokosuka K2Y","Other","Япония","Interwar"
"Yokosuka K5Y Willow","Other","Япония","Interwar"
"Бериев Бе-2/КОР-1","Sea","СССР/Россия","Interwar"
"Михельсон и Никитин МУ-4","Sea","Другие","Interwar"
"Никитин НВ-4","Sea","Другие","Interwar"
"Туполев МДР-2/АНТ-8","Sea","СССР/Россия","Interwar"
"Шавров Ш-5","Sea","Другие","Interwar"
"Aichi Experimental Three Seat Reconnaissance Seaplane","Sea","Япония","Interwar"
"Aichi AB-2","Sea","Япония","Interwar"
"Aichi AB-3","Sea","Япония","Interwar"
"Aichi AB-4","Sea","Япония","Interwar"
"Aichi AB-6","Sea","Япония","Interwar"
"Aichi E3A/HD.56","Sea","Япония","Interwar"
"Aichi E8A/AB-7","Sea","Япония","Interwar"
"Aichi E11A Laura","Sea","Япония","Interwar"
"Aichi Mi-go (type 15-Ko)","Sea","Япония","Interwar"
"Blackburn RB.1 Iris","Sea","Великобритания","Interwar"
"Blackburn T.3 Velos","Sea","Греция","Interwar"
"Blackburn T.5 Ripon","Sea","Финляндия","Interwar"
"Blohm und Voss Ha.139","Sea","DLH","Interwar"
"Blohm und Voss Ha.140","Sea","Германия (нацисты)","Interwar"
"Breguet Br.521/522/530 Bizerte","Sea","Германия (нацисты)","Interwar"
"CAMS 30","Sea","Польша","Interwar"
"CAMS 37/371/372/376","Sea","Португалия","Interwar"
"CAMS 55","Sea","Франция","Interwar"
"CRDA CANT Z.504","Sea","Италия (фашисты)","Interwar"
"Curtiss CT-1","Sea","США","Interwar"
"Curtiss SOC Seagull","Sea","США","Interwar"
"Dewoitine DH.730","Sea","Франция","Interwar"
"Dornier Do.D","Sea","Югославия","Interwar"
"Dornier Do.X","Sea","Другие","Interwar"
"Dornier Do.15/Do.J/Do.R Wal/Super Wal","Sea","Испания (до гр.войны)","Interwar"
"Dornier Do.18","Sea","Германия (нацисты)","Interwar"
"Fairey III","Sea","Великобритания","Interwar"
"Fairchild F-91 Baby Clipper","Sea","Великобритания","Interwar"
"Fokker C.VII","Sea","Нидерланды","Interwar"
"Fokker C.VIII","Sea","Нидерланды","Interwar"
"Fokker C.XI","Sea","Нидерланды","Interwar"
"Foochow Ning Nae 2","Sea","Китай (националисты)","Interwar"
"Grigorov 1","Sea","Болгария","Interwar"
"Grumman J2F Duck","Sea","Аргентина","Interwar"
"Hall PH","Sea","США","Interwar"
"Hall XPTBH","Sea","США","Interwar"
"Heinkel HD.25/HD.26/AB-1","Sea","Япония","Interwar"
"Heinkel HD.28","Sea","Япония","Interwar"
"Heinkel He.1/He.2/He.4","Sea","Латвия","Interwar"
"Heinkel He.8","Sea","Дания","Interwar"
"Heinkel He.42","Sea","Германия (нацисты)","Interwar"
"Heinkel He.59","Sea","Германия (нацисты)","Interwar"
"Heinkel He.60","Sea","Болгария","Interwar"
"Heinkel He.114","Sea","Германия (нацисты)","Interwar"
"Ikarus SM","Sea","Югославия","Interwar"
"IMAM Ro.43/Ro.44","Sea","Италия (фашисты)","Interwar"
"Kawanishi E5K","Sea","Япония","Interwar"
"Kawanishi E7K Alf","Sea","Япония","Interwar"
"Kawanishi E8K","Sea","Япония","Interwar"
"Kawanishi K6K","Sea","Япония","Interwar"
"Latecoere Late 298","Sea","Великобритания","Interwar"
"Latham 43","Sea","Польша","Interwar"
"Liore et Olivier LeO H.43","Sea","Франция","Interwar"
"Liore et Olivier LeO H.135","Sea","Польша","Interwar"
"Liore et Olivier LeO H.257/258","Sea","Франция","Interwar"
"Loening OL-8","Sea","США","Interwar"
"Loire 130","Sea","Германия (нацисты)","Interwar"
"Macchi M.9","Sea","Италия","Interwar"
"Macchi M.18","Sea","Испания (до гр.войны)","Interwar"
"Macchi M.39","Sea","Другие","Interwar"
"Macchi M.41/M.71","Sea","Испания (националисты)","Interwar"
"Macchi MC.94","Sea","Corporation","Interwar"
